SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
OILCOUNTUB,Oil Country Tubular Limited,30-Aug-95,INE591A01010
OLECTRA,Olectra Greentech Limited,20-Mar-02,INE260D01016
OMAXAUTO,Omax Autos Limited,20-Feb-03,INE090B01011
OMAXE,Omaxe Limited,09-Aug-07,INE800H01010
OMINFRAL,OM INFRA LIMITED,17-Jun-11,INE239D01028
OMKARCHEM,Omkar Speciality Chemicals Limited,10-Feb-11,INE474L01016
ONELIFECAP,Onelife Capital Advisors Limited,17-Oct-11,INE912L01015
ONEPOINT,One Point One Solutions Limited,09-May-19,INE840Y01029
ONGC,Oil & Natural Gas Corporation Limited,19-Jul-95,INE213A01029
ONMOBILE,OnMobile Global Limited,19-Feb-08,INE809I01019
ONWARDTEC,Onward Technologies Limited,07-Mar-01,INE229A01017
OPTIEMUS,Optiemus Infracom Limited,08-Aug-17,INE350C01017
ORBTEXP,Orbit Exports Limited,05-Nov-13,INE231G01010
ORCHPHARMA,Orchid Pharma Limited,02-Nov-20,INE191A01027
ORICONENT,Oricon Enterprises Limited,24-Jul-15,INE730A01022
ORIENTABRA,Orient Abrasives Limited,15-Dec-05,INE569C01020
ORIENTALTL,Oriental Trimex Limited,07-Mar-07,INE998H01012
ORIENTBELL,Orient Bell Limited,14-Feb-07,INE607D01018
ORIENTCEM,Orient Cement Limited,12-Jul-13,INE876N01018
ORIENTELEC,Orient Electric Limited,14-May-18,INE142Z01019
ORIENTHOT,Oriental Hotels Limited,27-Aug-98,INE750A01020
ORIENTLTD,Orient Press Limited,03-Mar-10,INE609C01024
ORIENTPPR,Orient Paper & Industries Limited,29-Mar-95,INE592A01026
ORISSAMINE,The Orissa Minerals Development Company Limited,29-Sep-10,INE725E01024
ORTEL,Ortel Communications Limited,19-Mar-15,INE849L01019
ORTINLAB,Ortin Laboratories Limited,30-Mar-21,INE749B01020
OSIAHYPER,Osia Hyper Retail Limited,01-Dec-22,INE06IR01021
OSWALAGRO,Oswal Agro Mills Limited,29-Mar-95,INE142A01012
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,28-Feb-23,INE00IK01011
PAGEIND,Page Industries Limited,16-Mar-07,INE761H01022
PAISALO,Paisalo Digital Limited,17-Oct-11,INE420C01059
PALASHSECU,Palash Securities Limited,28-Jul-17,INE471W01019
PALREDTEC,Palred Technologies Limited,09-May-16,INE218G01033
PANACEABIO,Panacea Biotec Limited,17-Apr-96,INE922B01023
PANACHE,Panache Digilife Limited,06-Jan-20,INE895W01019
PANAMAPET,Panama Petrochem Limited,30-Sep-11,INE305C01029
PANSARI,Pansari Developers Limited,18-Oct-21,INE697V01011
PAR,Par Drugs And Chemicals Limited,16-Sep-21,INE04LG01015
PARACABLES,Paramount Communications Limited,03-Jan-07,INE074B01023
PARADEEP,Paradeep Phosphates Limited,27-May-22,INE088F01024
PARAGMILK,Parag Milk Foods Limited,19-May-16,INE883N01014
PARAS,Paras Defence and Space Technologies Limited,01-Oct-21,INE045601015
PARASPETRO,Paras Petrofils Limited,14-Feb-96,INE162C01024
PARSVNATH,Parsvnath Developers Limited,30-Nov-06,INE561H01026
PASUPTAC,Pasupati Acrylon Limited,12-Oct-21,INE818B01023
PATANJALI,Patanjali Foods Limited,24-Jan-20,INE619A01035
PATELENG,Patel Engineering Limited,24-Feb-05,INE244B01030
PATINTLOG,Patel Integrated Logistics Limited,11-Jan-08,INE529D01014
PAYTM,One 97 Communications Limited,18-Nov-21,INE982J01020
PCBL,PCBL LIMITED,29-Mar-95,INE602A01031
PCJEWELLER,PC Jeweller Limited,27-Dec-12,INE785M01013
PDMJEPAPER,Pudumjee Paper Products Limited,30-Mar-16,INE865T01018
PDSL,PDS Limited,21-Oct-14,INE111Q01021
PEARLPOLY,Pearl Polymers Limited,11-Oct-95,INE844A01013
PEL,Piramal Enterprises Limited,08-Feb-95,INE140A01024
PENIND,Pennar Industries Limited,25-Nov-10,INE932A01024
PENINLAND,Peninsula Land Limited,08-Feb-95,INE138A01028
PERSISTENT,Persistent Systems Limited,06-Apr-10,INE262H01013
PETRONET,Petronet LNG Limited,26-Mar-04,INE347G01014
PFC,Power Finance Corporation Limited,23-Feb-07,INE134E01011
PFIZER,Pfizer Limited,28-Apr-99,INE182A01018
PFOCUS,Prime Focus Limited,20-Jun-06,INE367G01038
PFS,PTC India Financial Services Limited,30-Mar-11,INE560K01014
PGEL,PG Electroplast Limited,26-Sep-11,INE457L01011
PGHH,Procter & Gamble Hygiene and Health Care Limited,07-Jul-04,INE179A01014
PGHL,Procter & Gamble Health Limited,24-Apr-96,INE199A01012
PGIL,Pearl Global Industries Limited,15-Feb-07,INE940H01014
PHOENIXLTD,The Phoenix Mills Limited,23-Apr-07,INE211B01039
PIDILITIND,Pidilite Industries Limited,29-Mar-95,INE318A01026
PIIND,PI Industries Limited,15-Jun-11,INE603J01030
PILANIINVS,Pilani Investment and Industries Corporation Limited,08-Dec-15,INE417C01014
PILITA,PIL ITALICA LIFESTYLE LIMITED,07-Oct-13,INE600A01035
PIONEEREMB,Pioneer Embroideries Limited,16-May-06,INE156C01018
PITTIENG,Pitti Engineering Limited,02-Feb-07,INE450D01021
PIXTRANS,Pix Transmissions Limited,28-Apr-22,INE751B01018
PKTEA,The Peria Karamalai Tea & Produce Company Limited,19-Aug-15,INE431F01018
PLASTIBLEN,Plastiblends India Limited,28-Dec-06,INE083C01022
PNB,Punjab National Bank,24-Apr-02,INE160A01022
PNBGILTS,PNB Gilts Limited,18-Sep-00,INE859A01011
PNBHOUSING,PNB Housing Finance Limited,07-Nov-16,INE572E01012
PNC,Pritish Nandy Communications Limited,11-Dec-00,INE392B01011
PNCINFRA,PNC Infratech Limited,26-May-15,INE195J01029
POCL,Pondy Oxides & Chemicals Limited,06-Mar-23,INE063E01046
PODDARHOUS,Poddar Housing and Development Limited,10-Apr-17,INE888B01018
PODDARMENT,Poddar Pigments Limited,22-Nov-16,INE371C01013
POKARNA,Pokarna Limited,07-Jul-16,INE637C01025
POLICYBZR,PB Fintech Limited,15-Nov-21,INE417T01026
POLYCAB,Polycab India Limited,16-Apr-19,INE455K01017
POLYMED,Poly Medicure Limited,07-Dec-11,INE205C01021
POLYPLEX,Polyplex Corporation Limited,11-Apr-03,INE633B01018
PONNIERODE,Ponni Sugars (Erode) Limited,16-Apr-02,INE838E01017
POONAWALLA,Poonawalla Fincorp Limited,27-Apr-04,INE511C01022
POWERGRID,Power Grid Corporation of India Limited,05-Oct-07,INE752E01010
POWERINDIA,Hitachi Energy India Limited,30-Mar-20,INE07Y701011
POWERMECH,Power Mech Projects Limited,26-Aug-15,INE211R01019
PPAP,PPAP Automotive Limited,11-Jan-08,INE095I01015
PPL,Prakash Pipes Limited,14-Jun-19,INE050001010
PPLPHARMA,Piramal Pharma Limited,19-Oct-22,INE0DK501011
PRAENG,Prajay Engineers Syndicate Limited,02-Jan-07,INE505C01016
PRAJIND,Praj Industries Limited,11-Oct-95,INE074A01025
PRAKASH,Prakash Industries Limited,10-May-95,INE603A01013
PRAKASHSTL,Prakash Steelage Limited,25-Aug-10,INE696K01024
PRAXIS,Praxis Home Retail Limited,31-Jan-18,INE546Y01022
PRECAM,Precision Camshafts Limited,08-Feb-16,INE484I01029
PRECOT,Precot Limited,19-Aug-05,INE283A01014
PRECWIRE,Precision Wires India Limited,06-Sep-95,INE372C01037
PREMEXPLN,Premier Explosives Limited,17-Jun-16,INE863B01011
PREMIERPOL,Premier Polyfilm Limited,13-Dec-95,INE309M01012
PRESSMN,Pressman Advertising Limited,05-Jan-05,INE980A01023
PRESTIGE,Prestige Estates Projects Limited,27-Oct-10,INE811K01011
PRICOLLTD,Pricol Limited,10-Feb-17,INE726V01018
PRIMESECU,Prime Securities Limited,17-Jun-05,INE032B01021
PRINCEPIPE,Prince Pipes And Fittings Limited,30-Dec-19,INE689W01016
PRITI,Priti International Limited,02-Mar-22,INE974Z01015
PRITIKAUTO,Pritika Auto Industries Limited,10-Aug-21,INE583R01029
PRIVISCL,Privi Speciality Chemicals Limited,08-May-15,INE959A01019
PROZONINTU,Prozone Intu Properties Limited,12-Sep-12,INE195N01013
PRSMJOHNSN,Prism Johnson Limited,20-Aug-03,INE010A01011
PRUDENT,Prudent Corporate Advisory Services Limited,20-May-22,INE00F201020
PSB,Punjab & Sind Bank,30-Dec-10,INE608A01012
PSPPROJECT,PSP Projects Limited,29-May-17,INE488V01015
PTC,PTC India Limited,07-Apr-04,INE877F01012
PTL,PTL Enterprises Limited,29-Jan-07,INE034D01049
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,08-Mar-07,INE277B01014
PURVA,Puravankara Limited,30-Aug-07,INE323I01011
PVP,PVP Ventures Limited,03-Apr-96,INE362A01016
PVRINOX,PVR INOX Limited,04-Jan-06,INE191H01014
QUESS,Quess Corp Limited,12-Jul-16,INE615P01015
QUICKHEAL,Quick Heal Technologies Limited,18-Feb-16,INE306L01010
RACE,Race Eco Chain Limited,09-May-23,INE084Q01012
RADAAN,Radaan Mediaworks India Limited,27-Feb-03,INE874F01027
RADHIKAJWE,Radhika Jeweltech Limited,18-Jul-22,INE583V01013
RADIANTCMS,Radiant Cash Management Services Limited,04-Jan-23,INE855R01021
RADICO,Radico Khaitan Limited,18-Jun-03,INE944F01028
RADIOCITY,Music Broadcast Limited,17-Mar-17,INE919I01024
RAILTEL,Railtel Corporation Of India Limited,26-Feb-21,INE0DD101019
RAIN,Rain Industries Limited,03-Mar-08,INE855B01025
RAINBOW,Rainbow Childrens Medicare Limited,10-May-22,INE961O01016
RAJESHEXPO,Rajesh Exports Limited,09-Feb-00,INE343B01030
RAJMET,Rajnandini Metal Limited,16-Feb-21,INE00KV01022
RAJRATAN,Rajratan Global Wire Limited,22-May-20,INE451D01029
RAJRILTD,Raj Rayon Industries Limited,16-Mar-22,INE533D01032
RAJSREESUG,Rajshree Sugars & Chemicals Limited,29-Mar-95,INE562B01019
RAJTV,Raj Television Network Limited,16-Mar-07,INE952H01027
RALLIS,Rallis India Limited,01-Apr-99,INE613A01020
RAMANEWS,Shree Rama Newsprint Limited,20-Sep-06,INE278B01020
RAMAPHO,Rama Phosphates Limited,05-Aug-22,INE809A01024
RAMASTEEL,Rama Steel Tubes Limited,19-Aug-15,INE230R01035
RAMCOCEM,The Ramco Cements Limited,09-Apr-97,INE331A01037
RAMCOIND,Ramco Industries Limited,06-Nov-96,INE614A01028
RAMCOSYS,Ramco Systems Limited,12-Apr-00,INE246B01019
RAMKY,Ramky Infrastructure Limited,08-Oct-10,INE874I01013
RAMRAT,Ram Ratna Wires Limited,29-Jul-22,INE207E01023
RANASUG,Rana Sugars Limited,24-Feb-05,INE625B01014
RANEENGINE,Rane Engine Valve Limited,24-Jun-08,INE222J01013
RANEHOLDIN,Rane Holdings Limited,24-Sep-97,INE384A01010
RATEGAIN,Rategain Travel Technologies Limited,17-Dec-21,INE0CLI01024
RATNAMANI,Ratnamani Metals & Tubes Limited,09-May-06,INE703B01027
RAYMOND,Raymond Limited,18-Oct-95,INE301A01014
RBA,Restaurant Brands Asia Limited,14-Dec-20,INE07T201019
RBL,Rane Brake Lining Limited,20-Jun-08,INE244J01017
RBLBANK,RBL Bank Limited,31-Aug-16,INE976G01028
RCF,Rashtriya Chemicals and Fertilizers Limited,07-Jan-98,INE027A01015
RECLTD,REC Limited,12-Mar-08,INE020B01018
REDINGTON,Redington Limited,15-Feb-07,INE891D01026
REFEX,Refex Industries Limited,03-Dec-09,INE056I01017
REGENCERAM,Regency Ceramics Limited,05-Jun-96,INE277C01012
RELAXO,Relaxo Footwears Limited,17-Jun-11,INE131B01039
RELCAPITAL,Reliance Capital Limited,29-Nov-95,INE013A01015
RELCHEMQ,Reliance Chemotex Industries Limited,25-May-22,INE750D01016
RELIANCE,Reliance Industries Limited,29-Nov-95,INE002A01018
RELIGARE,Religare Enterprises Limited,21-Nov-07,INE621H01010
RELINFRA,Reliance Infrastructure Limited,08-Feb-95,INE036A01016
REMSONSIND,Remsons Industries Limited,31-Jan-96,INE474C01015
RENUKA,Shree Renuka Sugars Limited,31-Oct-05,INE087H01022
REPCOHOME,Repco Home Finance Limited,01-Apr-13,INE612J01015
REPL,Rudrabhishek Enterprises Limited,14-Dec-20,INE364Z01019
REPRO,Repro India Limited,22-Dec-05,INE461B01014
RESPONIND,Responsive Industries Limited,29-Oct-10,INE688D01026
REVATHI,Revathi Equipment Limited,11-Aug-05,INE617A01013
RGL,Renaissance Global Limited,12-Dec-07,INE722H01024
RHFL,Reliance Home Finance Limited,22-Sep-17,INE217K01011
RHIM,RHI MAGNESITA INDIA LIMITED,12-Mar-12,INE743M01012
RHL,Robust Hotels Limited,25-Apr-23,INE508K01013
RICOAUTO,Rico Auto Industries Limited,12-May-03,INE209B01025
RIIL,Reliance Industrial Infrastructure Limited,29-Nov-95,INE046A01015
RITCO,Ritco Logistics Limited,12-Apr-22,INE01EG01016
RITES,RITES Limited,02-Jul-18,INE320J01015
RKDL,Ravi Kumar Distilleries Limited,27-Dec-10,INE722J01012
RKEC,RKEC Projects Limited,18-Dec-20,INE786W01010
RKFORGE,Ramkrishna Forgings Limited,05-May-04,INE399G01023
RMCL,Radha Madhav Corporation Limited,26-Nov-07,INE172H01014
RML,Rane (Madras) Limited,30-Aug-05,INE050H01012
RNAVAL,Reliance Naval and Engineering Limited,09-Oct-09,INE542F01012
ROHLTD,Royal Orchid Hotels Limited,06-Feb-06,INE283H01019
ROLEXRINGS,Rolex Rings Limited,09-Aug-21,INE645S01016
ROLLT,Rollatainers Limited,22-Nov-16,INE927A01040
ROML,Raj Oil Mills Limited,06-Oct-20,INE294G01026
ROSSARI,Rossari Biotech Limited,23-Jul-20,INE02A801020
ROSSELLIND,Rossell India Limited,25-Sep-12,INE847C01020
ROTO,Roto Pumps Limited,21-Apr-22,INE535D01029
ROUTE,ROUTE MOBILE LIMITED,21-Sep-20,INE450U01017
RPGLIFE,RPG Life Sciences Limited,10-Jun-08,INE105J01010
RPOWER,Reliance Power Limited,11-Feb-08,INE614G01033
RPPINFRA,R.P.P. Infra Projects Limited,06-Dec-10,INE324L01013
RPPL,Rajshree Polypack Limited,26-Nov-21,INE760W01015
RPSGVENT,RPSG VENTURES LIMITED,25-Jan-19,INE425Y01011
RSSOFTWARE,R. S. Software (India) Limited,19-May-99,INE165B01029
RSWM,RSWM Limited,15-Feb-95,INE611A01016
RSYSTEMS,R Systems International Limited,26-Apr-06,INE411H01032
RTNINDIA,RattanIndia Enterprises Limited,30-Jul-12,INE834M01019
RTNPOWER,RattanIndia Power Limited,30-Oct-09,INE399K01017
RUBYMILLS,The Ruby Mills Limited,29-Mar-95,INE301D01026
RUCHINFRA,Ruchi Infrastructure Limited,16-Oct-96,INE413B01023
RUCHIRA,Ruchira Papers Limited,20-Dec-06,INE803H01014
RUPA,Rupa & Company Limited,07-Dec-11,INE895B01021
RUSHIL,Rushil Decor Limited,07-Jul-11,INE573K01017
RUSTOMJEE,Keystone Realtors Limited,24-Nov-22,INE263M01029
RVHL,Ravinder Heights Limited,18-Dec-20,INE09E501017
RVNL,Rail Vikas Nigam Limited,11-Apr-19,INE415G01027
S&SPOWER,S&S Power Switchgears Limited,27-Sep-95,INE902B01017
SABEVENTS,Sab Events & Governance Now Media Limited,15-Sep-16,INE860T01019
SABTN,Sri Adhikari Brothers Television Network Limited,16-Nov-07,INE416A01036
SADBHAV,Sadbhav Engineering Limited,01-Mar-06,INE226H01026
SADBHIN,Sadbhav Infrastructure Project Limited,16-Sep-15,INE764L01010
SADHNANIQ,Sadhana Nitrochem Limited,05-May-23,INE888C01040
SAFARI,Safari Industries (India) Limited,12-Sep-19,INE429E01023
SAGARDEEP,Sagardeep Alloys Limited,25-Jan-19,INE976T01013
SAGCEM,Sagar Cements Limited,29-Jan-07,INE229C01021
SAH,Sah Polymers Limited,12-Jan-23,INE035801013
SAHYADRI,Sahyadri Industries Limited,06-Apr-23,INE280H01015
SAIL,Steel Authority of India Limited,06-Jul-95,INE114A01011
SAKAR,Sakar Healthcare Limited,11-Apr-19,INE732S01012
SAKHTISUG,Sakthi Sugars Limited,06-Sep-95,INE623A01011
SAKSOFT,Saksoft Limited,09-May-05,INE667G01023
SAKUMA,Sakuma Exports Limited,08-Mar-06,INE190H01024
SALASAR,Salasar Techno Engineering Limited,25-Jul-17,INE170V01027
SALONA,Salona Cotspin Limited,16-Jun-16,INE498E01010
SALSTEEL,S.A.L. Steel Limited,24-Nov-04,INE658G01014
SALZERELEC,Salzer Electronics Limited,02-Dec-15,INE457F01013
SAMBHAAV,Sambhaav Media Limited,05-Jun-96,INE699B01027
SANCO,Sanco Industries Limited,22-Nov-16,INE782L01012
SANDESH,The Sandesh Limited,26-Nov-02,INE583B01015
SANDHAR,Sandhar Technologies Limited,02-Apr-18,INE278H01035
SANGAMIND,Sangam (India) Limited,17-Jul-96,INE495C01010
SANGHIIND,Sanghi Industries Limited,10-May-95,INE999B01013
SANGHVIMOV,Sanghvi Movers Limited,24-Jan-07,INE989A01024
SANGINITA,Sanginita Chemicals Limited,15-Jul-19,INE753W01010
SANOFI,Sanofi India Limited,19-May-03,INE058A01010
SANSERA,Sansera Engineering Limited,24-Sep-21,INE953O01021
SAPPHIRE,Sapphire Foods India Limited,18-Nov-21,INE806T01012
SARDAEN,Sarda Energy & Minerals Limited,03-Dec-09,INE385C01013
SAREGAMA,Saregama India Limited,30-Jul-97,INE979A01025
SARLAPOLY,Sarla Performance Fibers Limited,19-Jan-07,INE453D01025
SARVESHWAR,Sarveshwar Foods Limited,08-Dec-22,INE324X01018
SASKEN,Sasken Technologies Limited,09-Sep-05,INE231F01020
SASTASUNDR,Sastasundar Ventures Limited,05-Oct-10,INE019J01013
SATIA,Satia Industries Limited,17-Jul-19,INE170E01023
SATIN,Satin Creditcare Network Limited,26-Aug-15,INE836B01017
SATINDLTD,Sat Industries Limited,21-Nov-22,INE065D01027
SBC,SBC Exports Limited,23-Nov-21,INE04AK01028
SBCL,Shivalik Bimetal Controls Limited,24-Jun-21,INE386D01027
SBGLP,Suratwwala Business Group Limited,10-Feb-23,INE05ST01010
SBICARD,SBI Cards and Payment Services Limited,16-Mar-20,INE018E01016
SBILIFE,SBI Life Insurance Company Limited,03-Oct-17,INE123W01016
SBIN,State Bank of India,01-Mar-95,INE062A01020
SCAPDVR,Stampede Capital Limited,10-Oct-17,INE224E01036
SCHAEFFLER,Schaeffler India Limited,29-Nov-00,INE513A01022
SCHAND,S Chand And Company Limited,09-May-17,INE807K01035
SCHNEIDER,Schneider Electric Infrastructure Limited,20-Mar-12,INE839M01018
SCI,Shipping Corporation Of India Limited,13-Aug-97,INE109A01011
SCPL,Sheetal Cool Products Limited,22-Nov-22,INE501Y01019
SDBL,Som Distilleries & Breweries Limited,18-Mar-14,INE480C01020
SEAMECLTD,Seamec Limited,28-Jun-95,INE497B01018
SECURCRED,SecUR Credentials Limited,17-Oct-22,INE195Y01010
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,29-Jan-14,INE650K01021
SEJALLTD,Sejal Glass Limited,13-Dec-21,INE955I01044
SELAN,Selan Exploration Technology Limited,26-Sep-06,INE818A01017
SELMC,SEL Manufacturing Company Limited,26-Oct-21,INE105I01020
SEPC,SEPC Limited,20-Feb-08,INE964H01014
SEPOWER,S.E. Power Limited,27-Jul-12,INE735M01018
SEQUENT,Sequent Scientific Limited,10-Mar-16,INE807F01027
SERVOTECH,Servotech Power Systems Limited,02-Sep-21,INE782X01025
SESHAPAPER,Seshasayee Paper and Boards Limited,29-Mar-95,INE630A01024
SETCO,Setco Automotive Limited,01-Jul-16,INE878E01021
SEYAIND,Seya Industries Limited,11-Jul-19,INE573R01012
SFL,Sheela Foam Limited,09-Dec-16,INE916U01025
SGIL,Synergy Green Industries Limited,28-Jul-21,INE00QT01015
SGL,STL Global Limited,10-Apr-06,INE353H01010
SHAHALLOYS,Shah Alloys Limited,16-Jun-05,INE640C01011
SHAILY,Shaily Engineering Plastics Limited,04-Apr-22,INE151G01010
SHAKTIPUMP,Shakti Pumps (India) Limited,29-Jan-15,INE908D01010
SHALBY,Shalby Limited,15-Dec-17,INE597J01018
SHALPAINTS,Shalimar Paints Limited,03-Mar-08,INE849C01026
SHANKARA,Shankara Building Products Limited,05-Apr-17,INE274V01019
SHANTI,Shanti Overseas (India) Limited,16-Sep-21,INE933X01016
SHANTIGEAR,Shanthi Gears Limited,17-Jan-96,INE631A01022
SHARDACROP,Sharda Cropchem Limited,23-Sep-14,INE221J01015
SHARDAMOTR,Sharda Motor Industries Limited,03-Sep-15,INE597I01028
SHAREINDIA,Share India Securities Limited,21-Sep-20,INE932X01018
SHEMAROO,Shemaroo Entertainment Limited,01-Oct-14,INE363M01019
SHILPAMED,Shilpa Medicare Limited,03-Dec-09,INE790G01031
SHIVALIK,Shivalik Rasayan Limited,09-Dec-21,INE788J01021
SHIVAMAUTO,Shivam Autotech Limited,21-Nov-06,INE637H01024
SHIVAMILLS,Shiva Mills Limited,26-Feb-18,INE644Y01017
SHIVATEX,Shiva Texyarn Limited,26-Dec-17,INE705C01020
SHK,S H Kelkar and Company Limited,16-Nov-15,INE500L01026
SHOPERSTOP,Shoppers Stop Limited,23-May-05,INE498B01024
SHRADHA,Shradha Infraprojects Limited,22-Oct-20,INE715Y01023
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,28-Jan-20,INE232A01011
SHREECEM,SHREE CEMENT LIMITED,26-Apr-95,INE070A01015
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,10-Sep-15,INE712K01011
SHREERAMA,Shree Rama Multi-Tech Limited,13-Mar-00,INE879A01019
SHRENIK,Shrenik Limited,02-Aug-19,INE632X01030
SHREYANIND,Shreyans Industries Limited,06-Nov-96,INE231C01019
SHREYAS,Shreyas Shipping & Logistics Limited,01-Mar-95,INE757B01015
SHRIPISTON,Shriram Pistons & Rings Limited,02-Jun-16,INE526E01018
SHRIRAMFIN,Shriram Finance Limited,11-Dec-96,INE721A01013
SHRIRAMPPS,Shriram Properties Limited,20-Dec-21,INE217L01019
SHYAMCENT,Shyam Century Ferrous Limited,28-Jul-15,INE979R01011
SHYAMMETL,Shyam Metalics and Energy Limited,24-Jun-21,INE810G01011
SHYAMTEL,Shyam Telecom Limited,06-Nov-06,INE635A01023
SIEMENS,Siemens Limited,06-Sep-95,INE003A01024
SIGACHI,Sigachi Industries Limited,15-Nov-21,INE0D0K01014
SIGIND,Signet Industries Limited,29-Aug-18,INE529F01035
SIKKO,Sikko Industries Limited,22-Oct-21,INE112X01017
SIL,Standard Industries Limited,27-Jan-04,INE173A01025
SILGO,Silgo Retail Limited,03-Mar-21,INE01II01013
SILINV,SIL Investments Limited,22-May-96,INE923A01015
SILLYMONKS,Silly Monks Entertainment Limited,08-Jul-20,INE203Y01012
SILVERTUC,Silver Touch Technologies Limited,12-May-22,INE625X01018
SIMBHALS,Simbhaoli Sugars Limited,14-Mar-16,INE748T01016
SIMPLEXINF,Simplex Infrastructures Limited,09-Mar-04,INE059B01024
SINTERCOM,Sintercom India Limited,07-Oct-20,INE129Z01016
SIRCA,Sirca Paints India Limited,22-Jul-19,INE792Z01011
SIS,SIS LIMITED,10-Aug-17,INE285J01028
SITINET,Siti Networks Limited,10-Jan-07,INE965H01011
SIYSIL,Siyaram Silk Mills Limited,29-Jan-07,INE076B01028
SJS,S.J.S. Enterprises Limited,15-Nov-21,INE284S01014
SJVN,SJVN Limited,20-May-10,INE002L01015
SKFINDIA,SKF India Limited,27-Jan-99,INE640A01023
SKIPPER,Skipper Limited,27-May-15,INE439E01022
SKMEGGPROD,SKM Egg Products Export (India) Limited,14-Mar-97,INE411D01015
SKYGOLD,Sky Gold Limited,06-Jan-23,INE01IU01018
SMARTLINK,Smartlink Holdings Limited,11-Apr-01,INE178C01020
SMCGLOBAL,SMC Global Securities Limited,24-Feb-21,INE103C01036
SMLISUZU,SML Isuzu Limited,29-Aug-03,INE294B01019
SMLT,Sarthak Metals Limited,25-Nov-21,INE017W01010
SMSLIFE,SMS Lifesciences India Limited,17-Aug-17,INE320X01016
SMSPHARMA,SMS Pharmaceuticals Limited,28-Feb-07,INE812G01025
SNOWMAN,Snowman Logistics Limited,12-Sep-14,INE734N01019
SOBHA,Sobha Limited,20-Dec-06,INE671H01015
SOFTTECH,Softtech Engineers Limited,25-Feb-22,INE728Z01015
SOLARA,Solara Active Pharma Sciences Limited,27-Jun-18,INE624Z01016
SOLARINDS,Solar Industries India Limited,03-Apr-06,INE343H01029
SOMANYCERA,Somany Ceramics Limited,22-Nov-95,INE355A01028
SOMATEX,Soma Textiles & Industries Limited,14-Aug-96,INE314C01013
SOMICONVEY,Somi Conveyor Beltings Limited,18-Jul-16,INE323J01019
SONACOMS,Sona BLW Precision Forgings Limited,24-Jun-21,INE073K01018
SONAMCLOCK,Sonam Clock Limited,07-Apr-22,INE00LM01011
SONATSOFTW,Sonata Software Limited,28-Jul-99,INE269A01021
SOTL,Savita Oil Technologies Limited,28-Jun-95,INE035D01020
SOUTHBANK,The South Indian Bank Limited,08-Dec-98,INE683A01023
SOUTHWEST,South West Pinnacle Exploration Limited,18-Apr-19,INE980Y01015
SPAL,S. P. Apparels Limited,12-Aug-16,INE212I01016
SPANDANA,Spandana Sphoorty Financial Limited,19-Aug-19,INE572J01011
SPARC,Sun Pharma Advanced Research Company Limited,18-Jul-07,INE232I01014
SPCENET,Spacenet Enterprises India Limited,10-Jan-17,INE970N01027
SPECIALITY,Speciality Restaurants Limited,30-May-12,INE247M01014
SPENCERS,Spencer's Retail Limited,25-Jan-19,INE020801028
SPIC,Southern Petrochemicals Industries Corporation  Limited,10-Jan-96,INE147A01011
SPLIL,SPL Industries Limited,26-Jul-05,INE978G01016
SPLPETRO,Supreme Petrochem Limited,24-May-22,INE663A01033
SPMLINFRA,SPML Infra Limited,14-Feb-96,INE937A01023
SPORTKING,Sportking India Limited,24-Aug-22,INE885H01011
SREEL,Sreeleathers Limited,01-Jan-14,INE099F01013
SRF,SRF Limited,18-Aug-03,INE647A01010
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,08-May-07,INE917H01012
SRPL,Shree Ram Proteins Limited,23-Sep-20,INE008Z01012
SSWL,Steel Strips Wheels Limited,06-Jun-05,INE802C01033
STAR,Strides Pharma Science Limited,02-Feb-00,INE939A01011
STARCEMENT,Star Cement Limited,16-Jun-17,INE460H01021
STARHEALTH,Star Health and Allied Insurance Company Limited,10-Dec-21,INE575P01011
STARPAPER,Star Paper Mills Limited,13-Sep-95,INE733A01018
STARTECK,Starteck Finance Limited,04-May-22,INE992I01013
STCINDIA,The State Trading Corporation of India Limited,01-Apr-03,INE655A01013
STEELCAS,Steelcast Limited,23-Nov-21,INE124E01020
STEELCITY,Steel City Securities Limited,27-Jun-19,INE395H01011
STEELXIND,STEEL EXCHANGE INDIA LIMITED,20-Jul-17,INE503B01021
STEL,Stel Holdings Limited,09-Feb-11,INE577L01016
STERTOOLS,Sterling Tools Limited,02-Feb-06,INE334A01023
STLTECH,Sterlite Technologies Limited,08-Dec-00,INE089C01029
STOVEKRAFT,Stove Kraft Limited,05-Feb-21,INE00IN01015
STYLAMIND,Stylam Industries Limited,02-Aug-21,INE239C01020
STYRENIX,Styrenix Performance Materials Limited,29-Mar-95,INE189B01011
SUBEXLTD,Subex Limited,05-Nov-20,INE754A01055
SUBROS,Subros Limited,13-Jul-05,INE287B01021
SUDARSCHEM,Sudarshan Chemical Industries Limited,25-May-95,INE659A01023
SUKHJITS,Sukhjit Starch & Chemicals Limited,07-Nov-22,INE450E01011
SULA,Sula Vineyards Limited,22-Dec-22,INE142Q01026
