SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
AUSOMENT,Ausom Enterprise Limited,17-Apr-96,INE218C01016
AUTOAXLES,Automotive Axles Limited,29-May-03,INE449A01011
AUTOIND,Autoline Industries Limited,31-Jan-07,INE718H01014
AVADHSUGAR,Avadh Sugar & Energy Limited,28-Jul-17,INE349W01017
AVALON,Avalon Technologies Limited,18-Apr-23,INE0LCL01028
AVANTIFEED,Avanti Feeds Limited,15-Apr-15,INE871C01038
AVG,AVG Logistics Limited,12-May-23,INE680Z01018
AVONMORE,Avonmore Capital & Management Services Limited,04-Jan-23,INE323B01016
AVROIND,AVRO INDIA LIMITED,07-Apr-22,INE652Z01017
AVTNPL,AVT Natural Products Limited,10-Jan-07,INE488D01021
AWHCL,Antony Waste Handling Cell Limited,01-Jan-21,INE01BK01022
AWL,Adani Wilmar Limited,08-Feb-22,INE699H01024
AXISBANK,Axis Bank Limited,16-Nov-98,INE238A01034
AXISCADES,AXISCADES Technologies Limited,21-Dec-00,INE555B01013
AXITA,Axita Cotton Limited,21-Jun-22,INE02EZ01022
AYMSYNTEX,AYM Syntex Limited,14-Aug-15,INE193B01039
BAFNAPH,Bafna Pharmaceuticals Limited,27-Feb-20,INE878I01022
BAGFILMS,B.A.G Films and Media Limited,17-Oct-03,INE116D01028
BAIDFIN,Baid Finserv Limited,20-Jan-23,INE020D01022
BAJAJ-AUTO,Bajaj Auto Limited,26-May-08,INE917I01010
BAJAJCON,Bajaj Consumer Care Limited,18-Aug-10,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,02-Nov-07,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,26-May-08,INE918I01026
BAJAJHCARE,Bajaj Healthcare Limited,25-Nov-21,INE411U01027
BAJAJHIND,Bajaj Hindusthan Sugar Limited,10-May-95,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,15-Mar-95,INE118A01012
BAJFINANCE,Bajaj Finance Limited,01-Apr-03,INE296A01024
BALAJITELE,Balaji Telefilms Limited,22-Nov-00,INE794B01026
BALAMINES,Balaji Amines Limited,05-Apr-07,INE050E01027
BALAXI,BALAXI PHARMACEUTICALS LIMITED,30-Nov-15,INE618N01014
BALKRISHNA,Balkrishna Paper Mills Limited,28-Jul-15,INE875R01011
BALKRISIND,Balkrishna Industries Limited,27-Jan-06,INE787D01026
BALLARPUR,Ballarpur Industries Limited,31-Mar-08,INE294A01037
BALMLAWRIE,Balmer Lawrie & Company Limited,06-Jul-95,INE164A01016
BALPHARMA,Bal Pharma Limited,08-May-06,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,08-Feb-95,INE119A01028
BANARBEADS,Banaras Beads Limited,07-Jul-95,INE655B01011
BANARISUG,Bannari Amman Sugars Limited,28-May-03,INE459A01010
BANCOINDIA,Banco Products (I) Limited,22-Dec-06,INE213C01025
BANDHANBNK,Bandhan Bank Limited,27-Mar-18,INE545U01014
BANG,Bang Overseas Limited,20-Feb-08,INE863I01016
BANKA,Banka BioLoo Limited,29-Oct-20,INE862Y01015
BANKBARODA,Bank of Baroda,19-Feb-97,INE028A01039
BANKINDIA,Bank of India,30-Apr-97,INE084A01016
BANSWRAS,Banswara Syntex Limited,11-Apr-07,INE629D01020
BARBEQUE,Barbeque Nation Hospitality Limited,07-Apr-21,INE382M01027
BASF,BASF India Limited,17-May-95,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,14-Nov-05,INE186H01022
BATAINDIA,Bata India Limited,18-Jun-03,INE176A01028
BAYERCROP,Bayer Cropscience Limited,08-Jan-10,INE462A01022
BBL,Bharat Bijlee Limited,21-Nov-06,INE464A01028
BBOX,Black Box Limited,22-Jul-03,INE676A01027
BBTC,Bombay Burmah Trading Corporation Limited,03-Apr-96,INE050A01025
BBTCL,B&B Triplewall Containers Limited,23-Nov-22,INE01EE01011
BCG,Brightcom Group Limited,08-May-15,INE425B01027
BCLIND,Bcl Industries Limited,04-Mar-21,INE412G01016
BCONCEPTS,Brand Concepts Limited,11-Jan-22,INE977Y01011
BDL,Bharat Dynamics Limited,23-Mar-18,INE171Z01018
BEARDSELL,Beardsell Limited,13-Jan-15,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,24-Dec-20,INE495P01012
BEDMUTHA,Bedmutha Industries Limited,14-Oct-10,INE844K01012
BEL,Bharat Electronics Limited,19-Jul-00,INE263A01024
BEML,BEML Limited,05-Nov-03,INE258A01016
BEPL,Bhansali Engineering Polymers Limited,21-Mar-05,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,24-Nov-99,INE463A01038
BESTAGRO,Best Agrolife Limited,22-Feb-21,INE052T01013
BFINVEST,BF Investment Limited,14-Jan-11,INE878K01010
BFUTILITIE,BF Utilities Limited,03-May-07,INE243D01012
BGRENERGY,BGR Energy Systems Limited,03-Jan-08,INE661I01014
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,18-Oct-21,INE414D01019
BHAGERIA,Bhageria Industries Limited,02-Mar-16,INE354C01027
BHAGYANGR,Bhagyanagar India Limited,17-May-17,INE458B01036
BHANDARI,Bhandari Hosiery Exports Limited,30-Jan-17,INE474E01029
BHARATFORG,Bharat Forge Limited,04-Apr-03,INE465A01025
BHARATGEAR,Bharat Gears Limited,03-Apr-96,INE561C01019
BHARATRAS,Bharat Rasayan Limited,11-Oct-95,INE838B01013
BHARATWIRE,Bharat Wire Ropes Limited,01-Apr-16,INE316L01019
BHARTIARTL,Bharti Airtel Limited,15-Feb-02,INE397D01024
BHEL,Bharat Heavy Electricals Limited,11-Nov-03,INE257A01026
BIGBLOC,Bigbloc Construction Limited,02-Sep-16,INE412U01025
BIKAJI,Bikaji Foods International Limited,16-Nov-22,INE00E101023
BIL,Bhartiya International Limited,12-Apr-00,INE828A01016
BINANIIND,Binani Industries Limited,27-Sep-06,INE071A01013
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,28-Aug-96,INE143A01010
BIOCON,Biocon Limited,07-Apr-04,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,12-Jun-96,INE829A01014
BIRLACABLE,Birla Cable Limited,06-Dec-95,INE800A01015
BIRLACORPN,Birla Corporation Limited,12-Apr-95,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,07-Feb-08,INE865C01022
BIRLATYRE,Birla Tyres Limited,10-Feb-20,INE0AEJ01013
BLAL,BEML Land Assets Limited,19-Apr-23,INE0N7W01012
BLBLIMITED,BLB Limited,31-May-00,INE791A01024
BLISSGVS,Bliss GVS Pharma Limited,26-Jul-10,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,17-Mar-06,INE350H01032
BLS,BLS International Services Limited,14-Jun-16,INE153T01027
BLUECOAST,Blue Coast Hotels Limited,16-Feb-00,INE472B01011
BLUEDART,Blue Dart Express Limited,12-Dec-02,INE233B01017
BLUESTARCO,Blue Star Limited,15-Jun-00,INE472A01039
BODALCHEM,Bodal Chemicals Limited,22-Aug-11,INE338D01028
BOHRAIND,Bohra Industries Limited,27-Oct-22,INE802W01023
BOMDYEING,Bombay Dyeing & Mfg Company Limited,26-Apr-95,INE032A01023
BOROLTD,Borosil Limited,22-Jul-20,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,25-May-18,INE666D01022
BOSCHLTD,Bosch Limited,12-May-03,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,13-Sep-95,INE029A01011
BPL,BPL Limited,14-Jun-95,INE110A01019
BRIGADE,Brigade Enterprises Limited,31-Dec-07,INE791I01019
BRITANNIA,Britannia Industries Limited,05-Nov-98,INE216A01030
